City of London,Median,2012/13,63620,44546
Barking and Dagenham,Median,2012/13,29420,
Barnet,Median,2012/13,40530,34077
Bexley,Median,2012/13,36990,
Brent,Median,2012/13,32140,
Bromley,Median,2012/13,43060,33139
Camden,Median,2012/13,43750,35917
Croydon,Median,2012/13,37000,
Ealing,Median,2012/13,36070,30721
Enfield,Median,2012/13,33110,
Greenwich,Median,2012/13,35350,
Hackney,Median,2012/13,35140,
Hammersmith and Fulham,Median,2012/13,43820,37102
Haringey,Median,2012/13,35420,29910
Harrow,Median,2012/13,38880,31799
Havering,Median,2012/13,36670,
Hillingdon,Median,2012/13,37040,
Hounslow,Median,2012/13,35330,
Islington,Median,2012/13,39790,33747
Kensington and Chelsea,Median,2012/13,55620,42771
Kingston upon Thames,Median,2012/13,43940,35726
Lambeth,Median,2012/13,38490,30470
Lewisham,Median,2012/13,35900,
Merton,Median,2012/13,41960,32846
Newham,Median,2012/13,28780,
Redbridge,Median,2012/13,36860,
Richmond upon Thames,Median,2012/13,53470,41084
Southwark,Median,2012/13,37100,
Sutton,Median,2012/13,39940,31580
Tower Hamlets,Median,2012/13,34930,29937
Waltham Forest,Median,2012/13,33080,
Wandsworth,Median,2012/13,47480,37601
Westminster,Median,2012/13,47510,40594